,Unnamed: 0,TIME_PERIOD,reporter,product,PRODQNT,PRODVAL
5671,5671,2013,BG,20146379,0.0,0.0
5672,5672,2013,BG,20146380,0.0,0.0
5872,5872,2013,BG,21101030,0.0,0.0
5873,5873,2013,BG,21101050,0.0,0.0
5874,5874,2013,BG,21101070,0.0,0.0
5875,5875,2013,BG,21102010,0.0,0.0
5876,5876,2013,BG,21102020,0.0,0.0
5877,5877,2013,BG,21102040,0.0,0.0
5878,5878,2013,BG,21102060,0.0,0.0
5879,5879,2013,BG,21102070,0.0,0.0
5880,5880,2013,BG,21103117,0.0,0.0
5881,5881,2013,BG,21103119,0.0,0.0
5882,5882,2013,BG,21103130,0.0,0.0
5883,5883,2013,BG,21103140,0.0,0.0
5884,5884,2013,BG,21103155,0.0,0.0
5885,5885,2013,BG,21103159,0.0,0.0
5886,5886,2013,BG,21103170,0.0,0.0
5887,5887,2013,BG,21103180,0.0,0.0
5888,5888,2013,BG,21103200,0.0,0.0
5889,5889,2013,BG,21104000,0.0,0.0
5890,5890,2013,BG,21105100,,0.0
5891,5891,2013,BG,21105200,0.0,0.0
5892,5892,2013,BG,21106020,,0.0
5893,5893,2013,BG,21106040,,0.0
5894,5894,2013,BG,21201130,,0.0
5895,5895,2013,BG,21201160,,0.0
5896,5896,2013,BG,21201180,,37269864.0
5897,5897,2013,BG,21201230,,0.0
5898,5898,2013,BG,21201250,,0.0
5899,5899,2013,BG,21201260,,0.0
5900,5900,2013,BG,21201310,,0.0
5901,5901,2013,BG,21201360,,6218939.0
5902,5902,2013,BG,21201380,,260588711.0
5903,5903,2013,BG,21202200,,0.0
5904,5904,2013,BG,21202320,,0.0
7338,7338,2013,BG,32505010,,0.0
7339,7339,2013,BG,32505030,,0.0
8543,8543,2013,CY,20141120,0.0,0.0
8544,8544,2013,CY,20141130,0.0,0.0
8545,8545,2013,CY,20141140,0.0,0.0
8546,8546,2013,CY,20141150,0.0,0.0
8547,8547,2013,CY,20141160,0.0,0.0
8548,8548,2013,CY,20141190,0.0,0.0
8549,8549,2013,CY,20141213,0.0,0.0
8550,8550,2013,CY,20141215,0.0,0.0
8551,8551,2013,CY,20141223,0.0,0.0
8552,8552,2013,CY,20141225,0.0,0.0
8553,8553,2013,CY,20141243,0.0,0.0
8554,8554,2013,CY,20141245,0.0,0.0
8555,8555,2013,CY,20141247,0.0,0.0
8556,8556,2013,CY,20141250,0.0,0.0
8557,8557,2013,CY,20141260,0.0,0.0
8558,8558,2013,CY,20141270,0.0,0.0
8559,8559,2013,CY,20141290,0.0,0.0
8560,8560,2013,CY,20141313,0.0,0.0
8561,8561,2013,CY,20141315,0.0,0.0
8562,8562,2013,CY,20141323,0.0,0.0
8563,8563,2013,CY,20141325,0.0,0.0
8564,8564,2013,CY,20141353,0.0,0.0
8565,8565,2013,CY,20141357,0.0,0.0
8566,8566,2013,CY,20141371,0.0,0.0
8567,8567,2013,CY,20141374,0.0,0.0
8568,8568,2013,CY,20141379,0.0,0.0
